source,target,percentage
Looks,1,0.1
Looks,2,0.07
Looks,3,0.06
Looks,4,0.13
Looks,5,0.34
Looks,6,0.29
Personality,1,0.38
Personality,2,0.26
Personality,3,0.2
Personality,4,0.09
Personality,5,0.04
Personality,6,0.03
Humor,1,0.13
Humor,2,0.27
Humor,3,0.24
Humor,4,0.18
Humor,5,0.11
Humor,6,0.07
Intelligence,1,0.15
Intelligence,2,0.19
Intelligence,3,0.25
Intelligence,4,0.28
Intelligence,5,0.08
Intelligence,6,0.04
Money,1,0.03
Money,2,0.04
Money,3,0.06
Money,4,0.1
Money,5,0.27
Money,6,0.49
Interests,1,0.2
Interests,2,0.17
Interests,3,0.18
Interests,4,0.22
Interests,5,0.15
Interests,6,0.08
