gender,nationality,source,target,weight
Women,American,looks,1,0.1
Women,American,looks,2,0.07
Women,American,looks,3,0.06
Women,American,looks,4,0.13
Women,American,looks,5,0.34
Women,American,looks,6,0.29
Women,American,personality,1,0.38
Women,American,personality,2,0.26
Women,American,personality,3,0.2
Women,American,personality,4,0.09
Women,American,personality,5,0.04
Women,American,personality,6,0.03
Women,American,humor,1,0.13
Women,American,humor,2,0.27
Women,American,humor,3,0.24
Women,American,humor,4,0.18
Women,American,humor,5,0.11
Women,American,humor,6,0.07
Women,American,intelligence,1,0.15
Women,American,intelligence,2,0.19
Women,American,intelligence,3,0.25
Women,American,intelligence,4,0.28
Women,American,intelligence,5,0.08
Women,American,intelligence,6,0.04
Women,American,money,1,0.03
Women,American,money,2,0.04
Women,American,money,3,0.06
Women,American,money,4,0.1
Women,American,money,5,0.27
Women,American,money,6,0.49
Women,American,shared interests,1,0.2
Women,American,shared interests,2,0.17
Women,American,shared interests,3,0.18
Women,American,shared interests,4,0.22
Women,American,shared interests,5,0.15
Women,American,shared interests,6,0.08
