source,target,percentage
Looks,1,0.1
Looks,2,0.07
Looks,3,0.16
Looks,4,0.12
Looks,5,0.37
Looks,6,0.19
Personality,1,0.49
Personality,2,0.24
Personality,3,0.14
Personality,4,0.08
Personality,5,0.04
Personality,6,0.02
Humor,1,0.15
Humor,2,0.32
Humor,3,0.24
Humor,4,0.16
Humor,5,0.08
Humor,6,0.05
Intelligence,1,0.1
Intelligence,2,0.19
Intelligence,3,0.2
Intelligence,4,0.27
Intelligence,5,0.19
Intelligence,6,0.05
Money,1,0.01
Money,2,0.03
Money,3,0.07
Money,4,0.11
Money,5,0.2
Money,6,0.59
Interests,1,0.15
Interests,2,0.15
Interests,3,0.2
Interests,4,0.25
Interests,5,0.14
Interests,6,0.11
