source,target,percentage
Looks,1,0.05
Looks,2,0.06
Looks,3,0.09
Looks,4,0.17
Looks,5,0.41
Looks,6,0.21
Personality,1,0.52
Personality,2,0.25
Personality,3,0.16
Personality,4,0.05
Personality,5,0.02
Personality,6,0.01
Humor,1,0.21
Humor,2,0.33
Humor,3,0.24
Humor,4,0.14
Humor,5,0.07
Humor,6,0.01
Intelligence,1,0.08
Intelligence,2,0.14
Intelligence,3,0.2
Intelligence,4,0.39
Intelligence,5,0.16
Intelligence,6,0.04
Money,1,0.01
Money,2,0.02
Money,3,0.03
Money,4,0.05
Money,5,0.22
Money,6,0.67
Interests,1,0.13
Interests,2,0.21
Interests,3,0.28
Interests,4,0.2
Interests,5,0.13
Interests,6,0.06
