source,target,percentage
Looks,1,0.05
Looks,2,0.06
Looks,3,0.11
Looks,4,0.19
Looks,5,0.44
Looks,6,0.16
Personality,1,0.69
Personality,2,0.17
Personality,3,0.1
Personality,4,0.02
Personality,5,0.01
Personality,6,0.01
Humor,1,0.14
Humor,2,0.45
Humor,3,0.25
Humor,4,0.11
Humor,5,0.03
Humor,6,0.01
Intelligence,1,0.07
Intelligence,2,0.19
Intelligence,3,0.31
Intelligence,4,0.29
Intelligence,5,0.12
Intelligence,6,0.02
Money,1,0
Money,2,0.02
Money,3,0.02
Money,4,0.04
Money,5,0.2
Money,6,0.72
Interests,1,0.05
Interests,2,0.12
Interests,3,0.21
Interests,4,0.34
Interests,5,0.2
Interests,6,0.08
