source,target,percentage
Looks,1,0.11
Looks,2,0.1
Looks,3,0.13
Looks,4,0.17
Looks,5,0.3
Looks,6,0.19
Personality,1,0.45
Personality,2,0.2
Personality,3,0.14
Personality,4,0.08
Personality,5,0.09
Personality,6,0.05
Humor,1,0.06
Humor,2,0.16
Humor,3,0.19
Humor,4,0.24
Humor,5,0.19
Humor,6,0.16
Intelligence,1,0.15
Intelligence,2,0.25
Intelligence,3,0.22
Intelligence,4,0.17
Intelligence,5,0.11
Intelligence,6,0.1
Money,1,0.04
Money,2,0.09
Money,3,0.14
Money,4,0.14
Money,5,0.22
Money,6,0.37
Interests,1,0.19
Interests,2,0.21
Interests,3,0.17
Interests,4,0.2
Interests,5,0.09
Interests,6,0.14
