source,target,percentage
Looks,1,0.08
Looks,2,0.09
Looks,3,0.11
Looks,4,0.13
Looks,5,0.26
Looks,6,0.33
Personality,1,0.41
Personality,2,0.19
Personality,3,0.19
Personality,4,0.1
Personality,5,0.07
Personality,6,0.03
Humor,1,0.16
Humor,2,0.26
Humor,3,0.21
Humor,4,0.16
Humor,5,0.12
Humor,6,0.09
Intelligence,1,0.17
Intelligence,2,0.17
Intelligence,3,0.21
Intelligence,4,0.24
Intelligence,5,0.15
Intelligence,6,0.07
Money,1,0.04
Money,2,0.09
Money,3,0.12
Money,4,0.15
Money,5,0.24
Money,6,0.36
Interests,1,0.13
Interests,2,0.19
Interests,3,0.17
Interests,4,0.21
Interests,5,0.16
Interests,6,0.13
