source,target,percentage
Looks,1,0.05
Looks,2,0.05
Looks,3,0.09
Looks,4,0.16
Looks,5,0.4
Looks,6,0.26
Personality,1,0.59
Personality,2,0.24
Personality,3,0.12
Personality,4,0.03
Personality,5,0.01
Personality,6,0.01
Humor,1,0.14
Humor,2,0.32
Humor,3,0.28
Humor,4,0.18
Humor,5,0.06
Humor,6,0.03
Intelligence,1,0.07
Intelligence,2,0.14
Intelligence,3,0.24
Intelligence,4,0.34
Intelligence,5,0.17
Intelligence,6,0.03
Money,1,0.01
Money,2,0.02
Money,3,0.03
Money,4,0.08
Money,5,0.24
Money,6,0.62
Interests,1,0.15
Interests,2,0.23
Interests,3,0.24
Interests,4,0.21
Interests,5,0.11
Interests,6,0.05
