source,target,percentage
Looks,1,0.11
Looks,2,0.09
Looks,3,0.11
Looks,4,0.17
Looks,5,0.35
Looks,6,0.17
Personality,1,0.42
Personality,2,0.26
Personality,3,0.17
Personality,4,0.1
Personality,5,0.04
Personality,6,0.02
Humor,1,0.17
Humor,2,0.22
Humor,3,0.3
Humor,4,0.17
Humor,5,0.1
Humor,6,0.04
Intelligence,1,0.09
Intelligence,2,0.18
Intelligence,3,0.2
Intelligence,4,0.32
Intelligence,5,0.18
Intelligence,6,0.03
Money,1,0.01
Money,2,0.01
Money,3,0.04
Money,4,0.05
Money,5,0.19
Money,6,0.7
Interests,1,0.19
Interests,2,0.24
Interests,3,0.19
Interests,4,0.19
Interests,5,0.14
Interests,6,0.05
