source,target,percentage
Looks,1,0.07
Looks,2,0.07
Looks,3,0.09
Looks,4,0.17
Looks,5,0.35
Looks,6,0.24
Personality,1,0.56
Personality,2,0.21
Personality,3,0.11
Personality,4,0.07
Personality,5,0.04
Personality,6,0.02
Humor,1,0.17
Humor,2,0.32
Humor,3,0.26
Humor,4,0.13
Humor,5,0.08
Humor,6,0.05
Intelligence,1,0.07
Intelligence,2,0.19
Intelligence,3,0.23
Intelligence,4,0.31
Intelligence,5,0.14
Intelligence,6,0.05
Money,1,0.01
Money,2,0.03
Money,3,0.07
Money,4,0.1
Money,5,0.25
Money,6,0.55
Interests,1,0.13
Interests,2,0.19
Interests,3,0.24
Interests,4,0.22
Interests,5,0.14
Interests,6,0.09
