source,target,percentage
Money,5,0.25
Money,6,0.21
Interests,1,0.08
Interests,2,0.15
Interests,3,0.19
Interests,4,0.17
Interests,5,0.2
Interests,6,0.22
Looks,1,0.09
Looks,2,0.08
Looks,3,0.11
Looks,4,0.14
Looks,5,0.2
Looks,6,0.38
Personality,1,0.47
Personality,2,0.23
Personality,3,0.13
Personality,4,0.09
Personality,5,0.05
Personality,6,0.03
Humor,1,0.14
Humor,2,0.21
Humor,3,0.21
Humor,4,0.2
Humor,5,0.12
Humor,6,0.11
Intelligence,1,0.13
Intelligence,2,0.2
Intelligence,3,0.22
Intelligence,4,0.22
Intelligence,5,0.17
Intelligence,6,0.06
Money,1,0.09
Money,2,0.13
Money,3,0.14
Money,4,0.18
