source,target,percentage
Looks,1,0.05
Looks,2,0.09
Looks,3,0.1
Looks,4,0.22
Looks,5,0.37
Looks,6,0.17
Personality,1,0.66
Personality,2,0.2
Personality,3,0.07
Personality,4,0.05
Personality,5,0.01
Personality,6,0.01
Humor,1,0.14
Humor,2,0.34
Humor,3,0.29
Humor,4,0.12
Humor,5,0.08
Humor,6,0.03
Intelligence,1,0.05
Intelligence,2,0.16
Intelligence,3,0.25
Intelligence,4,0.34
Intelligence,5,0.17
Intelligence,6,0.03
Money,1,0.01
Money,2,0.01
Money,3,0.04
Money,4,0.05
Money,5,0.2
Money,6,0.69
Interests,1,0.1
Interests,2,0.21
Interests,3,0.25
Interests,4,0.21
Interests,5,0.16
Interests,6,0.07
