source,target,percentage
Looks,1,0.05
Looks,2,0.1
Looks,3,0.11
Looks,4,0.21
Looks,5,0.4
Looks,6,0.13
Personality,1,0.73
Personality,2,0.13
Personality,3,0.07
Personality,4,0.05
Personality,5,0.02
Personality,6,0.01
Humor,1,0.08
Humor,2,0.37
Humor,3,0.26
Humor,4,0.19
Humor,5,0.07
Humor,6,0.03
Intelligence,1,0.07
Intelligence,2,0.18
Intelligence,3,0.28
Intelligence,4,0.28
Intelligence,5,0.17
Intelligence,6,0.02
Money,1,0
Money,2,0.01
Money,3,0.02
Money,4,0.05
Money,5,0.16
Money,6,0.76
Interests,1,0.08
Interests,2,0.22
Interests,3,0.26
Interests,4,0.22
Interests,5,0.18
Interests,6,0.05
