source,target,percentage
Looks,1,0.12
Looks,2,0.11
Looks,3,0.11
Looks,4,0.19
Looks,5,0.23
Looks,6,0.25
Personality,1,0.43
Personality,2,0.18
Personality,3,0.14
Personality,4,0.1
Personality,5,0.11
Personality,6,0.04
Humor,1,0.15
Humor,2,0.22
Humor,3,0.23
Humor,4,0.17
Humor,5,0.13
Humor,6,0.09
Intelligence,1,0.15
Intelligence,2,0.21
Intelligence,3,0.23
Intelligence,4,0.2
Intelligence,5,0.14
Intelligence,6,0.06
Money,1,0.03
Money,2,0.1
Money,3,0.1
Money,4,0.15
Money,5,0.19
Money,6,0.43
Interests,1,0.12
Interests,2,0.18
Interests,3,0.19
Interests,4,0.18
Interests,5,0.2
Interests,6,0.13
