source,target,percentage
Looks,1,0.12
Looks,2,0.09
Looks,3,0.13
Looks,4,0.2
Looks,5,0.27
Looks,6,0.2
Personality,1,0.53
Personality,2,0.21
Personality,3,0.11
Personality,4,0.07
Personality,5,0.06
Personality,6,0.02
Humor,1,0.06
Humor,2,0.17
Humor,3,0.17
Humor,4,0.27
Humor,5,0.21
Humor,6,0.11
Intelligence,1,0.13
Intelligence,2,0.29
Intelligence,3,0.27
Intelligence,4,0.16
Intelligence,5,0.1
Intelligence,6,0.05
Money,1,0.01
Money,2,0.05
Money,3,0.1
Money,4,0.14
Money,5,0.22
Money,6,0.48
Interests,1,0.14
Interests,2,0.19
Interests,3,0.23
Interests,4,0.16
Interests,5,0.15
Interests,6,0.13
