source,target,percentage
Looks,1,0.19
Looks,2,0.11
Looks,3,0.17
Looks,4,0.17
Looks,5,0.21
Looks,6,0.17
Personality,1,0.53
Personality,2,0.23
Personality,3,0.1
Personality,4,0.06
Personality,5,0.04
Personality,6,0.04
Humor,1,0.09
Humor,2,0.22
Humor,3,0.25
Humor,4,0.19
Humor,5,0.16
Humor,6,0.09
Intelligence,1,0.08
Intelligence,2,0.14
Intelligence,3,0.19
Intelligence,4,0.27
Intelligence,5,0.19
Intelligence,6,0.12
Money,1,0.03
Money,2,0.05
Money,3,0.09
Money,4,0.15
Money,5,0.26
Money,6,0.42
Interests,1,0.09
Interests,2,0.25
Interests,3,0.2
Interests,4,0.16
Interests,5,0.14
Interests,6,0.16
