source,target,percentage
Looks,1,0.06
Looks,2,0.11
Looks,3,0.12
Looks,4,0.16
Looks,5,0.27
Looks,6,0.28
Personality,1,0.28
Personality,2,0.18
Personality,3,0.18
Personality,4,0.17
Personality,5,0.12
Personality,6,0.06
Humor,1,0.19
Humor,2,0.22
Humor,3,0.2
Humor,4,0.16
Humor,5,0.14
Humor,6,0.1
Intelligence,1,0.22
Intelligence,2,0.23
Intelligence,3,0.23
Intelligence,4,0.17
Intelligence,5,0.1
Intelligence,6,0.04
Money,1,0.04
Money,2,0.09
Money,3,0.09
Money,4,0.16
Money,5,0.23
Money,6,0.39
Interests,1,0.2
Interests,2,0.18
Interests,3,0.18
Interests,4,0.17
Interests,5,0.14
Interests,6,0.13
