source,target,percentage
Looks,1,0.18
Looks,2,0.12
Looks,3,0.14
Looks,4,0.18
Looks,5,0.22
Looks,6,0.17
Personality,1,0.46
Personality,2,0.2
Personality,3,0.12
Personality,4,0.1
Personality,5,0.08
Personality,6,0.04
Humor,1,0.09
Humor,2,0.22
Humor,3,0.2
Humor,4,0.17
Humor,5,0.19
Humor,6,0.14
Intelligence,1,0.18
Intelligence,2,0.26
Intelligence,3,0.27
Intelligence,4,0.16
Intelligence,5,0.08
Intelligence,6,0.05
Money,1,0.05
Money,2,0.1
Money,3,0.14
Money,4,0.19
Money,5,0.23
Money,6,0.28
Interests,1,0.03
Interests,2,0.11
Interests,3,0.12
Interests,4,0.2
Interests,5,0.22
Interests,6,0.32
