source,target,percentage
Looks,1,0.09
Looks,2,0.06
Looks,3,0.09
Looks,4,0.14
Looks,5,0.23
Looks,6,0.4
Personality,1,0.5
Personality,2,0.21
Personality,3,0.13
Personality,4,0.09
Personality,5,0.04
Personality,6,0.03
Humor,1,0.16
Humor,2,0.28
Humor,3,0.23
Humor,4,0.16
Humor,5,0.1
Humor,6,0.07
Intelligence,1,0.12
Intelligence,2,0.16
Intelligence,3,0.21
Intelligence,4,0.26
Intelligence,5,0.19
Intelligence,6,0.08
Money,1,0.03
Money,2,0.07
Money,3,0.13
Money,4,0.16
Money,5,0.3
Money,6,0.3
Interests,1,0.1
Interests,2,0.23
Interests,3,0.22
Interests,4,0.19
Interests,5,0.14
Interests,6,0.13
